title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Taxi Driver,movie,"Crime, Drama",1976.0,8.2,956947.0,"AE, AG, AO, AR, AT, BB, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, DE, DO, DZ, EC, EE, EG, GH, GQ, GT, HN, IL, IQ, IT, JM, JO, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MG, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PS, PY, QA, SA, SC, SM, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Run Lola Run,movie,"Action, Crime, Thriller",1998.0,7.6,211313.0,"AT, CH, DE, LI"
Snatch,movie,"Comedy, Crime",2000.0,8.2,931865.0,"AT, BE, CH, CY, DE, EE, FJ, GB, GG, GI, GR, HK, ID, IE, IL, IN, LI, LT, LU, LV, MT, MY, NZ, PH, PK, PT, SG, TH, TR, TW"
Scarface,movie,"Crime, Drama",1983.0,8.3,945439.0,"CA, US"
Italian for Beginners,movie,"Comedy, Drama, Romance",2000.0,7.0,14078.0,"DK, FI, NO, SE"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,6.7,543436.0,"AD, AT, BE, CH, DE, ES, FJ, FR, GF, HK, ID, IT, JP, KR, LI, LU, MC, MY, PF, PH, PK, PT, SG, SM, TH, TW"
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001.0,8.9,2069609.0,"AU, CH, IN, IT, JP, KR, NZ, SM"
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002.0,8.8,1839664.0,"AU, CH, IN, IT, JP, KR, NZ, SM"
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003.0,9.0,2040047.0,"AU, CH, IN, IT, JP, KR, NZ, SM"
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997.0,8.3,449743.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
