title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Broken,movie,"Action, Drama, Thriller",2014.0,6.7,1537.0,KR
The Anderssons Hit the Road,movie,"Comedy, Family",2013.0,3.8,1449.0,"DK, FI, NO, SE"
You're Killing Me Susana,movie,"Comedy, Drama, Romance",2016.0,6.4,2426.0,"AG, AR, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, HN, JM, MX, NI, PA, PE, PY, SV, UY, VE"
Huevos: Little Rooster's Egg-cellent Adventure,movie,"Adventure, Animation, Comedy",2015.0,5.7,1269.0,"AG, AR, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
Perfect Obedience,movie,Drama,2014.0,6.4,1115.0,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Perfect Dictatorship,movie,"Comedy, Drama",2014.0,7.2,6331.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
The Obscure Spring,movie,Drama,2014.0,6.1,933.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Operation Bullshine,movie,"Comedy, Romance, War",1959.0,5.6,214.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LI, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Room,movie,"Drama, Thriller",2015.0,8.1,461839.0,"AD, BE, CA, FR, GF, LU, MC, NL, PF"
The Homesman,movie,"Drama, Western",2014.0,6.6,36729.0,KR
Ex Machina,movie,"Drama, Sci-Fi, Thriller",2014.0,7.7,608528.0,CA
Off Course,movie,Comedy,2015.0,5.8,5578.0,"AD, ES"
The Best Bet,movie,"Comedy, Drama",2004.0,6.3,126.0,"ID, MY, PH, SG, TH"
L'oro di Scampia,movie,"Biography, Drama, Sport",2014.0,6.8,133.0,"AL, AT, BA, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IS, LT, LU, LV, MD, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR"
Now and Forever,movie,"Drama, Romance, Thriller",1956.0,6.3,205.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LI, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Magic Mike XXL,movie,"Comedy, Drama, Music",2015.0,5.6,62224.0,"AD, CA, ES, PT"
A Friend Will Come Tonight,movie,"Drama, War",1946.0,6.4,131.0,"CY, DK"
Mommy,movie,Drama,2014.0,8.0,63248.0,CA
Wild Tales,movie,"Comedy, Drama, Thriller",2014.0,8.1,223845.0,"AU, NZ"
Wild Card,movie,"Action, Crime, Drama",2015.0,5.6,61474.0,"KR, PH"
Bad Boys,movie,"Biography, Documentary, History",2014.0,8.2,1991.0,US
The Last Incubus,movie,"Fantasy, Romance",2014.0,4.1,126.0,"MD, RO"
Witches Don't Exist,movie,"Adventure, Family, Fantasy",2014.0,4.6,162.0,"AT, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, NO, PL, PT, RO, SE, SI, SK"
Stand by Me Doraemon,movie,"Animation, Comedy, Drama",2014.0,7.3,9841.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
No Tears for the Dead,movie,"Action, Crime, Drama",2014.0,6.7,7409.0,KR
A Girl at My Door,movie,Drama,2014.0,6.9,3294.0,KR
Girlhood,movie,Drama,2014.0,6.9,10245.0,KR
Sisters,movie,Comedy,2015.0,6.0,70680.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
In My Dreams,movie,"Drama, Family, Romance",2014.0,6.3,6230.0,"AE, AO, AT, AU, BE, BH, CH, CV, DE, DK, DZ, EE, EG, ES, FI, GB, GG, GI, GR, HK, ID, IE, IL, IQ, IT, JO, JP, KE, KR, KW, LB, LI, LT, LV, LY, MA, MG, MK, MT, MY, MZ, NL, NO, NZ, PH, PS, PT, QA, SC, SE, SG, SI, SM, TH, TW, TZ, ZA, ZM"
Josépha,movie,Drama,1982.0,6.0,149.0,"CY, DK, FI, MT, NO, SE"
The Gunman,movie,"Action, Crime, Mystery",2015.0,5.8,43910.0,TC
Dr. Cabbie,movie,Comedy,2014.0,6.0,3896.0,CA
Saint Petersburg,movie,"Drama, Romance",2013.0,5.8,101.0,MD
Love of My Loves,movie,Comedy,2014.0,6.2,998.0,"AD, AG, AR, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, ES, GI, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, UY, VE"
The Brothers Grimsby,movie,"Action, Adventure, Comedy",2016.0,6.2,113927.0,"AL, BA, BG, CA, CZ, EE, HR, HU, LT, LV, ME, MK, RS, SI, SK"
The Young Man,movie,"Crime, Drama",1994.0,6.1,58.0,KR
Spiral,movie,Action,2014.0,3.9,209.0,MD
The Hole,movie,"Drama, Thriller",1997.0,6.2,173.0,KR
City of the Rising Sun,movie,"Crime, Drama",1998.0,6.6,449.0,KR
Heartstopper,movie,Horror,1989.0,4.7,168.0,US
The Target,movie,"Action, Thriller",2014.0,6.2,2207.0,KR
The Look of Silence,movie,"Biography, Documentary, History",2014.0,8.3,14185.0,"TH, US"
I Am a Dancer,movie,"Biography, Documentary, Music",1972.0,6.8,76.0,"CY, DK, FI, LI, MT, NO, SE"
A Boyfriend for my Wife,movie,"Comedy, Romance",2014.0,5.5,580.0,"AL, AT, BA, BE, BG, CH, CZ, DE, EE, ES, FR, GR, HR, HU, LT, LU, MD, ME, MK, PL, RO, RS, SE, SI, SK, TR"
Man on High Heels,movie,"Action, Drama",2014.0,6.6,1493.0,KR
Elvira I Will Give You My Life But I'm Using It,movie,"Comedy, Drama",2014.0,6.5,1586.0,"AG, AR, BM, BO, BR, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, MX, NI, PA, PE, PY, SV, UY, VE"
London Has Fallen,movie,"Action, Thriller",2016.0,5.9,173283.0,"AD, AT, AU, CA, DE, ES, FJ, ID, IT, JP, NZ, PH, SM, TW, US"
The BFG,movie,"Adventure, Family, Fantasy",2016.0,6.3,95444.0,"BE, BM, GB, GG, GI, IE, MT, NL, TC, ZA"
Casa Grande,movie,"Drama, Romance",2014.0,6.8,3224.0,"AR, BO, BR, CL, CO, CR, CU, DO, EC, GT, HN, LC, MX, NI, PA, PE, PT, PY, SV, UY, VE"
Woman Without a Face,movie,Drama,1947.0,6.5,417.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PF, PL, PT, RO, SI, SK, TC"
Guardians of Oz,movie,"Adventure, Animation, Fantasy",2015.0,4.6,285.0,KR
The Legend of the Mummies of Guanajuato,movie,"Animation, Family",2014.0,5.7,434.0,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, LC, MX, NI, PA, PE, PY, SV, UY, VE"
Pacific Rim: Uprising,movie,"Action, Adventure, Sci-Fi",2018.0,5.6,130989.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Pink Guinea Pig,movie,"Comedy, Romance",2014.0,6.8,453.0,ID
Maria and Her Shadow,movie,Documentary,2013.0,6.2,19.0,"AT, BE, BG, CH, CY, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, RO, SI, SK"
The Fatal Encounter,movie,"Action, Drama",2014.0,6.7,1339.0,KR
A Hard Day,movie,"Action, Crime, Thriller",2014.0,7.2,17252.0,"JP, KR"
Babovresky 2,movie,Comedy,2014.0,3.1,175.0,CZ
El cumple de la abuela,movie,Comedy,2015.0,5.8,579.0,"AR, BO, CL, CO, CR, CU, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
Little Baby Jesus,movie,"Comedy, Romance",2013.0,4.4,154.0,"CZ, SK"
Appleseed Alpha,movie,"Action, Adventure, Animation",2014.0,6.5,9280.0,"AG, AR, AU, BB, BE, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, DO, EC, GB, GG, GI, GT, HN, IE, IN, JM, KR, LC, LU, MT, MX, NI, NL, NZ, PA, PE, PK, PY, SV, TC, TT, UY, VE"
Obsessed,movie,Drama,2014.0,6.2,2635.0,KR
Excuse My French,movie,"Comedy, Drama",2014.0,7.5,5119.0,"AD, AE, AG, AL, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BR, BS, BY, BZ, CA, CL, CR, CY, DE, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GI, GR, HK, HR, ID, IL, IN, IQ, IS, IT, JM, JO, KW, LB, LC, LI, LT, LV, LY, MA, MC, ME, MG, MK, MT, MY, MZ, NL, NO, NZ, OM, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, TC, TH, TN, TR, TT, TW, TZ, US, VE, YE, ZA"
It Follows,movie,"Horror, Mystery, Thriller",2014.0,6.8,281642.0,"CA, GB, GG, IE, MT"
Domino Effect,movie,"Documentary, Drama, Family",2014.0,6.8,81.0,"AT, BE, BG, CH, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IS, IT, LI, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK"
"Hail, Caesar!",movie,"Comedy, Drama, Mystery",2016.0,6.3,145399.0,"FJ, HK, ID, MY, PH, SG, TH, TW"
One on One,movie,"Crime, Drama, Thriller",2014.0,5.7,1184.0,KR
Skiptrace,movie,"Action, Adventure, Comedy",2016.0,5.6,22856.0,"AD, BM, FR, GB, GG, GI, IE, MC, MT, TC"
Bez litosci,movie,"Action, Crime",2002.0,5.2,148.0,PL
Refugiado,movie,"Drama, Thriller",2014.0,6.3,445.0,"AD, AG, AR, BM, BO, BS, BZ, CA, CL, CO, CR, CU, DO, EC, ES, GI, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, US, UY, VE"
Number One Fan,movie,"Comedy, Drama, Thriller",2014.0,6.5,1995.0,"LI, MT"
Dilema,movie,"Crime, Drama",2011.0,7.1,79.0,ID
Penguins of Madagascar,movie,"Action, Adventure, Animation",2014.0,6.6,106310.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HN, HR, HU, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Singapore GaGa,movie,Documentary,2005.0,6.4,56.0,"ID, MY, PH, SG, TH"
La mujer que hablaba con los muertos,movie,"Comedy, Horror",2014.0,3.3,83.0,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK"
The Song,movie,"Drama, Music, Romance",2014.0,5.9,2347.0,"IN, PK"
Heropanti,movie,"Action, Drama, Romance",2014.0,5.2,10834.0,"AE, BH, DZ, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE"
Sam Kinison: Live in Vegas,movie,Comedy,1991.0,4.7,71.0,RO
Beyond Skyline,movie,"Action, Adventure, Horror",2017.0,5.3,23919.0,"AD, AG, AL, AR, AU, BA, BB, BE, BG, BM, BO, BR, BS, BZ, CA, CH, CL, CO, CR, CU, CZ, DK, DO, EC, ES, FI, FR, GB, GF, GG, GI, GR, GT, HN, HR, ID, IE, IN, IS, IT, JM, LC, LU, MC, ME, MK, MT, MU, MX, NI, NL, NO, NZ, PA, PE, PF, PH, PK, PL, PT, PY, RO, RS, SE, SI, SK, SM, SV, TC, TR, TT, US, UY, VE, ZA"
Wir sind die Neuen,movie,Comedy,2014.0,6.6,1714.0,"AT, CH, DE, LI"
Space Brothers,movie,"Animation, Comedy, Sci-Fi",2014.0,7.6,152.0,JP
Suite Française,movie,"Drama, Romance, Thriller",2014.0,7.0,29310.0,KR
Trainwreck,movie,"Comedy, Drama, Romance",2015.0,6.2,144352.0,"IN, PK"
The Program,movie,"Biography, Drama, Sport",2015.0,6.5,19796.0,"BM, GB, GG, GI, IE, TC"
The Tree and the Swing,movie,"Drama, Family, History",2013.0,6.3,266.0,"AT, BE, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, HR, HU, IE, IS, IT, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK"
The Cage,movie,"Crime, Drama, Thriller",1975.0,6.3,540.0,"CY, DK, FI, LI, MT, NO, SE"
Ah Fei,movie,Drama,1984.0,7.4,112.0,TW
Clouds are not Spheres,movie,Documentary,1995.0,7.2,106.0,"AT, BE, BG, CH, CY, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, RO, SI, SK"
Bobby Jasoos,movie,"Comedy, Drama, Thriller",2014.0,5.5,2463.0,"AR, DZ, EG, HK, HN, JP, KW, MD, QA, TW"
Tour du Faso,movie,Documentary,2014.0,6.5,80.0,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK"
Salaakhen,movie,"Action, Thriller",1975.0,5.7,89.0,"AE, AG, AL, AO, AU, AZ, BA, BB, BH, BM, BO, BS, BY, BZ, CA, CI, CM, CO, CR, CU, CV, DO, DZ, EG, FJ, GG, GH, GI, GQ, GT, HK, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NZ, PE, PH, PK, PS, PY, QA, RS, SC, SG, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, ZA, ZM, ZW"
Gyeongju,movie,Drama,2014.0,6.8,501.0,KR
Sea Fog,movie,"Drama, Thriller",2014.0,6.8,4012.0,KR
The DUFF,movie,"Comedy, Romance",2015.0,6.4,103636.0,"AE, BH, BM, DZ, EG, GB, GG, GI, IE, IQ, IT, JO, KR, KW, LB, LY, MA, MT, OM, PS, QA, SA, SM, TC, TN, YE"
Noche de vino tinto,movie,Drama,1967.0,6.2,230.0,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK"
Los dan Faun,movie,"Action, Comedy, Crime",2008.0,6.3,57.0,"MY, SG"
Zwei Tage Hoffnung,movie,Drama,2003.0,6.1,138.0,"AT, CH, DE"
French Women,movie,"Comedy, Romance",2014.0,5.3,2418.0,"AD, FR, GF, MC, PF"
The Great Hypnotist,movie,"Drama, Mystery, Thriller",2014.0,6.9,3162.0,HK
The Hateful Eight,movie,"Crime, Drama, Mystery",2015.0,7.8,678471.0,"AT, AU, BM, BS, CU, DE, DO, FJ, LI, LU, NZ, TW, US"
I'll Follow You Down,movie,"Drama, Mystery, Sci-Fi",2013.0,6.1,8315.0,CA
Sonny Boy & Dewdrop Girl,movie,"Adventure, Animation, Family",2013.0,6.3,174.0,JP
Shashinkan,movie,"Animation, Drama, Short",2013.0,7.5,115.0,JP
Mother Nanny,movie,Drama,2006.0,7.7,110.0,"ID, MY, PH, SG, TH"
Maybe This Time,movie,"Comedy, Drama, Romance",2014.0,6.6,166.0,"ID, MY, PH, SG, TH"
Selma,movie,"Biography, Drama, History",2014.0,7.5,96662.0,"AT, AU, CH, DE, NZ, US"
Daddy's Home,movie,"Comedy, Family",2015.0,6.2,132466.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Trailer Park Boys: Live in F**kin' Dublin,movie,Comedy,2014.0,6.2,1740.0,"AD, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NO, NZ, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TR, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW"
Bob Wilson's Life & Death of Marina Abramovic,movie,Documentary,2012.0,6.8,151.0,"AL, AT, BA, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IS, LT, LU, LV, MD, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR"
Animal,movie,"Action, Adventure, Drama",2014.0,4.7,7601.0,"FJ, HK, ID, MY, PH, SG, TH, TW"
The Last Witch Hunter,movie,"Action, Adventure, Fantasy",2015.0,5.9,111732.0,"AD, AR, AU, BM, BO, BR, BZ, CL, CO, CR, EC, ES, FJ, GB, GG, GI, GT, HN, ID, IE, MT, MX, MY, NI, NZ, PA, PE, PH, PY, SG, SV, TC, UY, VE"
Geostorm,movie,"Action, Sci-Fi, Thriller",2017.0,5.3,123302.0,"AD, AU, BA, BE, BG, CA, CH, CZ, ES, FJ, FR, GB, GF, GG, HK, HR, HU, ID, IE, IN, JP, KR, LU, MC, MD, ME, MK, MY, NZ, PF, PH, PK, PL, PT, RO, RS, SG, SI, SK, TH, TW"
Chance of a Lifetime,movie,"Comedy, Drama",1950.0,6.8,321.0,"BG, CY, CZ, DK, EE, ES, FI, HR, HU, IS, IT, LT, LV, MT, NL, PT, RO, SE, SI, SK"
King Arthur: Legend of the Sword,movie,"Action, Adventure, Drama",2017.0,6.7,237589.0,"AD, AT, AU, BA, BE, BG, CH, CY, CZ, DE, DK, ES, FI, FJ, FR, GF, HR, HU, LI, LU, MC, MD, ME, MK, NL, NO, NZ, PF, PL, PT, RO, RS, SE, SI, SK, TR"
The Lego Ninjago Movie,movie,"Adventure, Animation, Comedy",2017.0,6.0,31195.0,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Dangerous Youth,movie,"Crime, Drama, Musical",1957.0,5.8,117.0,"CY, DK, FI, LI, MT, NO, SE"
Passengers,movie,"Drama, Romance, Sci-Fi",2016.0,7.0,465411.0,"AL, AU, BA, BG, CA, CZ, DK, EE, FI, FJ, HK, HR, HU, ID, IS, JP, KR, LT, LU, LV, ME, MK, MY, NL, NO, NZ, PH, PL, RO, RS, SE, SG, SI, SK, TH, TW"
The Disappearance of Eleanor Rigby: Her,movie,"Drama, Romance",2013.0,6.8,9872.0,"AE, BH, DZ, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE"
Wazir,movie,"Crime, Drama, Mystery",2016.0,7.1,20259.0,"CI, CV, MZ, SN"
Beer Is Cheaper Than Therapy,movie,"Documentary, News",2011.0,6.3,194.0,"AT, BE, BG, CH, CZ, DE, ES, FR, GB, GR, HR, HU, IS, IT, LT, LV, PT, RO, SE, SI, SK"
Ricki and the Flash,movie,"Comedy, Drama, Music",2015.0,6.0,25219.0,"AU, GB, GG, GI, IE, JP"
All This Mayhem,movie,"Biography, Documentary, History",2014.0,7.8,3861.0,"AT, BG, CH, CY, CZ, DE, EE, ES, FR, GR, HR, HU, IE, IT, LT, LV, PL, PT, RO, SI, SK"
Cuba feliz,movie,"Documentary, Music",2000.0,6.6,252.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Wkreceni,movie,Comedy,2014.0,4.5,698.0,PL
Home Sweet Hell,movie,"Comedy, Crime, Thriller",2015.0,5.5,17129.0,"AT, CH, DE, LI, LU"
Comet,movie,"Comedy, Drama, Romance",2014.0,6.7,19920.0,TH
Humpty Sharma Ki Dulhania,movie,"Comedy, Drama, Romance",2014.0,6.0,14439.0,"AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Straight Outta Compton,movie,"Biography, Drama, History",2015.0,7.8,223918.0,"AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BM, BO, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, EC, EE, FI, FJ, GB, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IS, IT, JM, JP, KE, LC, LI, LT, LU, LV, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, PA, PE, PH, PL, PY, RO, RS, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TT, TW, TZ, UA, UG, UY, VE, ZA, ZM, ZW"
Everly,movie,"Action, Thriller",2014.0,5.1,19724.0,"AE, BH, DZ, EG, IQ, JO, KW, LB, LY, MA, PS, QA"
Just a Little Chemistry,movie,"Comedy, Romance",2015.0,5.2,768.0,ES
Three Sisters,movie,"Drama, Romance",1970.0,6.2,517.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LI, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Happy New Year,movie,"Action, Comedy, Drama",2014.0,5.0,42064.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Playing It Cool,movie,"Comedy, Romance",2014.0,5.9,30705.0,"AU, IT, SM"
